id,gender,age,income,marital,education,min_offer
101,M,26,71000.0,single,tertiary education,0
102,F,29,58000.0,single,upper secondary and post-secondary non-tertiary,0
103,M,43,70000.0,divorced,tertiary education,137
104,F,89,65000.0,divorced,tertiary education,0
105,F,49,79000.0,divorced,tertiary education,232
106,M,79,67000.0,married,tertiary education,39
107,F,55,94000.0,married,upper secondary and post-secondary non-tertiary,23
108,M,55,66000.0,single,upper secondary and post-secondary non-tertiary,192
109,M,45,31000.0,married,upper secondary and post-secondary non-tertiary,76
110,M,52,30000.0,divorced,tertiary education,86
111,M,39,55000.0,married,tertiary education,104
112,M,77,69000.0,married,tertiary education,9
113,M,66,60000.0,single,below upper secondary,174
114,F,69,87000.0,married,upper secondary and post-secondary non-tertiary,63
115,M,74,53000.0,divorced,tertiary education,95
116,F,75,87000.0,widowed,tertiary education,169
117,F,59,85000.0,married,upper secondary and post-secondary non-tertiary,71
118,M,47,66000.0,married,tertiary education,106
119,M,20,69000.0,single,tertiary education,132
120,M,60,108000.0,married,tertiary education,148
121,M,65,61000.0,single,below upper secondary,0
122,M,33,43000.0,single,tertiary education,55
123,F,39,67000.0,single,upper secondary and post-secondary non-tertiary,155
124,M,49,59000.0,divorced,tertiary education,18
125,M,68,58000.0,divorced,tertiary education,49
126,M,42,80000.0,married,tertiary education,45
127,M,72,33000.0,single,below upper secondary,94
128,F,18,49000.0,divorced,tertiary education,81
129,F,32,42000.0,married,tertiary education,59
130,M,67,50000.0,married,tertiary education,11
131,M,52,42000.0,married,upper secondary and post-secondary non-tertiary,64
132,M,38,64000.0,married,upper secondary and post-secondary non-tertiary,20
133,F,60,77000.0,married,tertiary education,79
134,F,62,77000.0,married,tertiary education,28
135,F,55,51000.0,married,tertiary education,85
136,M,22,63000.0,single,tertiary education,99
137,M,34,41000.0,single,upper secondary and post-secondary non-tertiary,32
138,M,46,60000.0,single,upper secondary and post-secondary non-tertiary,83
139,M,85,67000.0,single,below upper secondary,0
140,F,51,85000.0,separated,tertiary education,0
141,F,53,85000.0,married,tertiary education,122
142,M,51,92000.0,married,tertiary education,107
143,M,48,44000.0,divorced,tertiary education,71
144,M,52,72000.0,married,upper secondary and post-secondary non-tertiary,243
145,M,62,53000.0,widowed,tertiary education,103
146,M,42,62000.0,single,upper secondary and post-secondary non-tertiary,5
147,M,55,65000.0,married,tertiary education,137
148,F,27,50000.0,single,tertiary education,0
149,M,68,107000.0,single,below upper secondary,57
150,F,74,83000.0,widowed,tertiary education,77
151,M,77,66000.0,married,tertiary education,179
152,M,35,72000.0,divorced,tertiary education,18
153,F,50,69000.0,divorced,tertiary education,11
154,M,45,94000.0,single,upper secondary and post-secondary non-tertiary,84
155,M,82,87000.0,married,tertiary education,29
156,M,40,57000.0,married,tertiary education,121
157,M,66,34000.0,married,tertiary education,0
158,M,52,63000.0,married,tertiary education,0
159,F,57,89000.0,married,tertiary education,50
160,M,68,69000.0,single,upper secondary and post-secondary non-tertiary,34
161,M,21,52000.0,single,tertiary education,152
162,M,61,44000.0,single,below upper secondary,85
163,F,58,54000.0,married,tertiary education,58
164,F,67,54000.0,single,upper secondary and post-secondary non-tertiary,0
165,M,24,61000.0,single,below upper secondary,112
166,M,26,35000.0,single,upper secondary and post-secondary non-tertiary,0
167,F,71,105000.0,married,upper secondary and post-secondary non-tertiary,0
168,F,69,64000.0,married,tertiary education,140
169,M,81,93000.0,married,upper secondary and post-secondary non-tertiary,122
170,M,62,73000.0,married,tertiary education,140
171,M,38,74000.0,married,tertiary education,97
172,M,61,82000.0,married,upper secondary and post-secondary non-tertiary,152
173,F,52,92000.0,married,upper secondary and post-secondary non-tertiary,32
174,M,50,70000.0,married,tertiary education,0
175,M,54,118000.0,married,upper secondary and post-secondary non-tertiary,198
176,F,75,109000.0,single,below upper secondary,21
177,M,82,73000.0,divorced,tertiary education,22
178,M,64,38000.0,divorced,tertiary education,20
179,F,54,99000.0,divorced,tertiary education,100
180,M,82,72000.0,single,upper secondary and post-secondary non-tertiary,46
181,M,90,45000.0,married,tertiary education,0
182,F,34,67000.0,single,tertiary education,23
183,M,44,53000.0,single,upper secondary and post-secondary non-tertiary,0
184,F,79,106000.0,married,upper secondary and post-secondary non-tertiary,172
185,F,58,95000.0,divorced,tertiary education,0
186,F,47,74000.0,married,upper secondary and post-secondary non-tertiary,0
187,F,60,59000.0,married,tertiary education,62
188,M,83,54000.0,married,tertiary education,14
189,F,74,103000.0,married,tertiary education,261
190,M,89,101000.0,single,below upper secondary,0
191,M,68,62000.0,married,tertiary education,78
192,F,63,110000.0,married,tertiary education,105
193,F,40,51000.0,married,tertiary education,0
194,F,79,99000.0,widowed,tertiary education,150
195,M,71,30000.0,married,tertiary education,24
196,F,76,114000.0,married,tertiary education,201
197,M,89,96000.0,married,tertiary education,175
198,M,63,36000.0,single,below upper secondary,113
199,M,41,83000.0,married,upper secondary and post-secondary non-tertiary,193
200,F,71,56000.0,single,below upper secondary,35
201,M,44,36000.0,single,below upper secondary,27
202,M,25,73000.0,single,tertiary education,153
203,M,27,70000.0,single,upper secondary and post-secondary non-tertiary,115
204,M,67,106000.0,married,upper secondary and post-secondary non-tertiary,173
205,F,77,80000.0,married,tertiary education,0
206,F,68,66000.0,single,below upper secondary,64
207,M,37,64000.0,married,tertiary education,16
208,M,55,60000.0,married,upper secondary and post-secondary non-tertiary,76
209,M,30,54000.0,single,tertiary education,48
210,M,51,54000.0,married,upper secondary and post-secondary non-tertiary,103
211,F,47,92000.0,married,tertiary education,121
212,M,49,48000.0,married,upper secondary and post-secondary non-tertiary,85
213,M,32,38000.0,single,upper secondary and post-secondary non-tertiary,20
214,M,30,69000.0,single,tertiary education,3
215,M,47,86000.0,single,below upper secondary,50
216,M,34,34000.0,married,tertiary education,33
217,F,78,101000.0,divorced,tertiary education,139
218,F,85,71000.0,married,upper secondary and post-secondary non-tertiary,231
219,F,75,69000.0,married,tertiary education,66
220,F,76,71000.0,married,tertiary education,3
221,F,89,59000.0,married,upper secondary and post-secondary non-tertiary,38
222,M,58,70000.0,married,tertiary education,37
223,M,23,49000.0,single,upper secondary and post-secondary non-tertiary,72
224,M,58,53000.0,single,below upper secondary,0
225,F,64,95000.0,married,tertiary education,101
226,M,72,39000.0,married,tertiary education,45
227,F,66,72000.0,married,tertiary education,88
228,F,49,68000.0,divorced,tertiary education,27
229,M,43,71000.0,married,tertiary education,54
230,M,58,39000.0,married,tertiary education,0
231,M,43,76000.0,married,tertiary education,38
232,F,56,87000.0,married,upper secondary and post-secondary non-tertiary,39
233,F,69,118000.0,married,tertiary education,167
234,O,60,94000.0,married,upper secondary and post-secondary non-tertiary,0
235,M,81,70000.0,married,upper secondary and post-secondary non-tertiary,124
236,M,42,91000.0,married,tertiary education,226
237,M,75,71000.0,married,tertiary education,0
238,M,62,73000.0,married,tertiary education,104
239,F,55,54000.0,single,upper secondary and post-secondary non-tertiary,90
240,M,65,39000.0,widowed,tertiary education,14
241,M,52,46000.0,married,tertiary education,27
242,F,30,40000.0,single,tertiary education,34
243,F,74,75000.0,divorced,tertiary education,52
244,F,100,63000.0,divorced,tertiary education,43
245,F,26,40000.0,single,upper secondary and post-secondary non-tertiary,0
246,F,56,53000.0,divorced,tertiary education,114
247,M,50,90000.0,married,tertiary education,187
248,M,73,95000.0,separated,tertiary education,17
249,F,49,74000.0,married,upper secondary and post-secondary non-tertiary,0
250,M,37,50000.0,single,upper secondary and post-secondary non-tertiary,76
251,M,65,57000.0,married,upper secondary and post-secondary non-tertiary,24
252,F,64,81000.0,separated,tertiary education,92
253,F,48,53000.0,married,tertiary education,36
254,M,20,32000.0,single,upper secondary and post-secondary non-tertiary,54
255,M,46,40000.0,single,below upper secondary,67
256,M,24,69000.0,single,tertiary education,18
257,M,71,95000.0,married,upper secondary and post-secondary non-tertiary,0
258,F,50,78000.0,married,tertiary education,0
259,M,37,92000.0,single,below upper secondary,148
260,F,57,81000.0,married,upper secondary and post-secondary non-tertiary,0
261,M,52,85000.0,married,upper secondary and post-secondary non-tertiary,41
262,M,41,41000.0,single,upper secondary and post-secondary non-tertiary,16
263,F,66,74000.0,married,tertiary education,70
264,F,66,87000.0,married,tertiary education,0
265,F,68,120000.0,separated,tertiary education,142
266,M,20,70000.0,single,tertiary education,106
267,M,43,42000.0,single,upper secondary and post-secondary non-tertiary,45
268,M,73,38000.0,married,tertiary education,26
269,F,42,56000.0,single,below upper secondary,61
270,M,82,110000.0,separated,tertiary education,153
271,F,70,92000.0,married,tertiary education,0
272,F,42,71000.0,divorced,tertiary education,209
273,M,48,62000.0,single,upper secondary and post-secondary non-tertiary,86
274,F,53,93000.0,single,upper secondary and post-secondary non-tertiary,32
275,M,64,67000.0,married,tertiary education,40
276,M,79,90000.0,married,upper secondary and post-secondary non-tertiary,134
277,M,51,55000.0,divorced,tertiary education,48
278,F,45,88000.0,divorced,tertiary education,0
279,F,48,105000.0,married,tertiary education,321
280,F,54,119000.0,married,upper secondary and post-secondary non-tertiary,105
281,M,52,48000.0,single,below upper secondary,96
282,M,28,68000.0,single,tertiary education,20
283,M,69,47000.0,married,tertiary education,119
284,M,73,92000.0,single,below upper secondary,118
285,F,67,71000.0,married,tertiary education,114
286,F,76,34000.0,married,tertiary education,0
287,F,55,53000.0,married,tertiary education,117
288,F,89,83000.0,divorced,tertiary education,140
289,M,57,41000.0,separated,tertiary education,94
290,F,54,70000.0,married,tertiary education,26
291,M,58,73000.0,married,tertiary education,37
292,M,49,39000.0,married,tertiary education,128
293,F,73,79000.0,married,tertiary education,0
294,F,58,76000.0,single,upper secondary and post-secondary non-tertiary,65
295,M,51,70000.0,separated,tertiary education,149
296,M,74,78000.0,single,below upper secondary,85
297,M,53,95000.0,married,tertiary education,150
298,M,61,32000.0,single,upper secondary and post-secondary non-tertiary,19
299,M,41,55000.0,married,upper secondary and post-secondary non-tertiary,75
300,F,64,95000.0,married,tertiary education,0
301,M,42,75000.0,married,upper secondary and post-secondary non-tertiary,199
302,M,50,57000.0,divorced,tertiary education,50
303,M,60,56000.0,single,below upper secondary,17
304,F,57,83000.0,single,upper secondary and post-secondary non-tertiary,138
305,F,39,54000.0,single,upper secondary and post-secondary non-tertiary,29
306,F,57,67000.0,married,tertiary education,0
307,M,57,71000.0,married,tertiary education,0
308,M,68,51000.0,single,upper secondary and post-secondary non-tertiary,86
309,F,83,114000.0,single,below upper secondary,95
310,F,35,72000.0,married,tertiary education,62
311,F,90,72000.0,widowed,tertiary education,149
312,M,56,72000.0,married,tertiary education,0
313,M,84,81000.0,married,tertiary education,21
314,M,62,39000.0,single,upper secondary and post-secondary non-tertiary,23
315,M,63,58000.0,married,upper secondary and post-secondary non-tertiary,63
316,M,67,56000.0,single,below upper secondary,53
317,F,68,50000.0,married,tertiary education,35
318,M,55,73000.0,married,tertiary education,68
319,F,24,59000.0,single,upper secondary and post-secondary non-tertiary,52
320,M,40,39000.0,married,tertiary education,10
321,M,83,61000.0,married,upper secondary and post-secondary non-tertiary,11
322,F,63,41000.0,divorced,tertiary education,52
323,F,59,59000.0,married,tertiary education,6
324,O,49,42000.0,married,tertiary education,0
325,F,61,99000.0,married,tertiary education,68
326,M,42,57000.0,single,upper secondary and post-secondary non-tertiary,48
327,M,58,36000.0,separated,tertiary education,117
328,F,48,44000.0,married,tertiary education,12
329,M,35,64000.0,married,tertiary education,124
330,M,36,31000.0,separated,tertiary education,54
331,F,41,100000.0,married,tertiary education,0
332,F,83,73000.0,married,upper secondary and post-secondary non-tertiary,129
333,M,53,87000.0,married,tertiary education,0
334,F,53,97000.0,divorced,tertiary education,0
335,F,80,48000.0,single,upper secondary and post-secondary non-tertiary,77
336,M,25,66000.0,single,below upper secondary,0
337,M,63,119000.0,single,upper secondary and post-secondary non-tertiary,172
338,F,63,66000.0,single,upper secondary and post-secondary non-tertiary,20
339,F,56,109000.0,single,upper secondary and post-secondary non-tertiary,289
340,M,43,59000.0,married,upper secondary and post-secondary non-tertiary,122
341,F,58,58000.0,married,tertiary education,31
342,M,59,59000.0,single,upper secondary and post-secondary non-tertiary,18
343,M,49,104000.0,single,upper secondary and post-secondary non-tertiary,0
344,F,63,70000.0,married,tertiary education,39
345,M,42,94000.0,married,tertiary education,67
346,F,52,57000.0,married,tertiary education,36
347,F,57,37000.0,married,tertiary education,42
348,F,56,59000.0,divorced,tertiary education,93
349,M,80,87000.0,married,upper secondary and post-secondary non-tertiary,117
350,M,43,52000.0,separated,tertiary education,12
351,M,54,70000.0,separated,tertiary education,0
352,M,28,73000.0,married,tertiary education,172
353,F,57,95000.0,single,upper secondary and post-secondary non-tertiary,29
354,M,71,67000.0,single,upper secondary and post-secondary non-tertiary,23
355,F,64,112000.0,single,upper secondary and post-secondary non-tertiary,53
356,M,20,49000.0,single,tertiary education,0
357,F,36,58000.0,single,upper secondary and post-secondary non-tertiary,30
358,F,45,99000.0,married,tertiary education,51
359,M,71,65000.0,single,upper secondary and post-secondary non-tertiary,105
360,M,67,89000.0,divorced,tertiary education,151
361,F,72,81000.0,divorced,tertiary education,81
362,M,51,100000.0,married,tertiary education,193
363,M,48,68000.0,married,tertiary education,91
364,M,53,60000.0,married,tertiary education,59
365,M,25,53000.0,single,tertiary education,61
366,F,79,85000.0,single,below upper secondary,68
367,M,19,32000.0,single,below upper secondary,19
368,F,28,49000.0,married,tertiary education,35
369,M,56,76000.0,married,tertiary education,0
370,M,44,37000.0,single,upper secondary and post-secondary non-tertiary,47
371,M,25,40000.0,single,upper secondary and post-secondary non-tertiary,0
372,F,61,78000.0,single,upper secondary and post-secondary non-tertiary,143
373,M,34,59000.0,single,below upper secondary,44
374,F,41,37000.0,married,tertiary education,38
375,M,44,51000.0,single,upper secondary and post-secondary non-tertiary,76
376,F,51,92000.0,married,tertiary education,151
377,M,47,44000.0,single,upper secondary and post-secondary non-tertiary,0
378,F,63,70000.0,single,below upper secondary,55
379,M,62,61000.0,single,below upper secondary,114
380,M,66,71000.0,divorced,tertiary education,0
381,M,62,70000.0,married,tertiary education,97
382,M,83,88000.0,single,below upper secondary,0
383,M,43,58000.0,married,tertiary education,0
384,F,66,94000.0,married,tertiary education,97
385,M,70,44000.0,divorced,tertiary education,0
386,F,65,66000.0,married,tertiary education,0
387,F,33,54000.0,single,tertiary education,0
388,M,63,78000.0,married,tertiary education,206
389,M,77,42000.0,married,tertiary education,48
390,F,49,57000.0,married,tertiary education,89
391,M,53,104000.0,married,tertiary education,80
392,F,61,87000.0,married,tertiary education,56
393,M,60,38000.0,married,upper secondary and post-secondary non-tertiary,0
394,F,44,60000.0,divorced,tertiary education,42
395,M,69,62000.0,married,upper secondary and post-secondary non-tertiary,14
396,M,39,71000.0,single,below upper secondary,131
397,F,38,55000.0,single,upper secondary and post-secondary non-tertiary,117
398,F,83,99000.0,divorced,tertiary education,244
399,F,63,94000.0,single,below upper secondary,174
400,F,41,41000.0,married,tertiary education,16
401,M,54,39000.0,married,tertiary education,0
402,M,41,55000.0,married,tertiary education,97
403,F,56,69000.0,married,upper secondary and post-secondary non-tertiary,93
404,M,50,98000.0,single,below upper secondary,0
405,M,58,55000.0,single,below upper secondary,74
406,M,39,61000.0,married,upper secondary and post-secondary non-tertiary,110
407,F,60,55000.0,married,tertiary education,58
408,F,60,74000.0,separated,tertiary education,60
409,M,24,38000.0,single,tertiary education,7
410,M,48,57000.0,single,upper secondary and post-secondary non-tertiary,0
411,M,50,110000.0,single,upper secondary and post-secondary non-tertiary,198
412,F,41,67000.0,married,upper secondary and post-secondary non-tertiary,46
413,M,45,84000.0,married,tertiary education,64
414,M,48,93000.0,married,upper secondary and post-secondary non-tertiary,254
415,M,59,87000.0,married,tertiary education,146
416,M,43,45000.0,single,upper secondary and post-secondary non-tertiary,61
417,F,56,67000.0,divorced,tertiary education,76
418,M,54,93000.0,married,upper secondary and post-secondary non-tertiary,234
419,F,48,47000.0,married,tertiary education,127
420,M,63,49000.0,single,below upper secondary,94
421,M,47,35000.0,married,tertiary education,55
422,M,52,56000.0,married,upper secondary and post-secondary non-tertiary,0
423,F,58,78000.0,married,upper secondary and post-secondary non-tertiary,87
424,M,78,39000.0,married,tertiary education,33
425,M,43,40000.0,married,upper secondary and post-secondary non-tertiary,43
426,M,68,61000.0,single,upper secondary and post-secondary non-tertiary,118
427,M,18,48000.0,single,upper secondary and post-secondary non-tertiary,0
428,F,39,85000.0,single,upper secondary and post-secondary non-tertiary,36
429,M,74,99000.0,married,tertiary education,125
430,F,53,98000.0,married,upper secondary and post-secondary non-tertiary,52
431,F,61,67000.0,divorced,tertiary education,0
432,M,23,54000.0,single,tertiary education,100
433,M,46,55000.0,single,upper secondary and post-secondary non-tertiary,70
434,M,51,78000.0,married,upper secondary and post-secondary non-tertiary,2
435,M,77,86000.0,divorced,tertiary education,113
436,F,79,91000.0,married,tertiary education,165
437,M,41,41000.0,married,tertiary education,41
438,F,60,78000.0,married,upper secondary and post-secondary non-tertiary,140
439,F,54,47000.0,married,tertiary education,50
440,O,63,89000.0,single,upper secondary and post-secondary non-tertiary,53
441,M,73,76000.0,single,upper secondary and post-secondary non-tertiary,0
442,M,47,77000.0,married,upper secondary and post-secondary non-tertiary,70
443,M,84,82000.0,married,tertiary education,97
444,M,20,56000.0,single,upper secondary and post-secondary non-tertiary,105
445,F,24,35000.0,single,tertiary education,30
446,F,58,71000.0,separated,tertiary education,103
447,M,35,40000.0,single,upper secondary and post-secondary non-tertiary,1
448,M,57,33000.0,married,upper secondary and post-secondary non-tertiary,7
449,M,87,55000.0,single,upper secondary and post-secondary non-tertiary,48
450,F,86,84000.0,single,upper secondary and post-secondary non-tertiary,0
451,F,57,100000.0,single,below upper secondary,182
452,M,61,112000.0,married,upper secondary and post-secondary non-tertiary,163
453,M,25,53000.0,single,upper secondary and post-secondary non-tertiary,67
454,M,38,31000.0,single,upper secondary and post-secondary non-tertiary,41
455,M,94,50000.0,divorced,tertiary education,151
456,M,59,61000.0,married,tertiary education,32
457,F,49,73000.0,married,tertiary education,0
458,F,61,72000.0,single,upper secondary and post-secondary non-tertiary,86
459,M,31,64000.0,separated,tertiary education,60
460,F,75,53000.0,married,upper secondary and post-secondary non-tertiary,25
461,M,51,65000.0,married,tertiary education,1
462,M,68,74000.0,married,tertiary education,41
463,M,86,71000.0,single,upper secondary and post-secondary non-tertiary,83
464,F,62,117000.0,married,upper secondary and post-secondary non-tertiary,58
465,M,61,64000.0,single,upper secondary and post-secondary non-tertiary,218
466,F,63,57000.0,divorced,tertiary education,2
467,F,26,52000.0,single,upper secondary and post-secondary non-tertiary,10
468,F,50,77000.0,divorced,tertiary education,0
469,F,45,93000.0,married,upper secondary and post-secondary non-tertiary,116
470,F,88,64000.0,single,below upper secondary,0
471,F,50,92000.0,divorced,tertiary education,42
472,F,65,119000.0,divorced,tertiary education,86
473,M,55,76000.0,married,upper secondary and post-secondary non-tertiary,22
474,M,71,95000.0,single,below upper secondary,260
475,F,34,46000.0,divorced,tertiary education,91
476,M,81,65000.0,married,tertiary education,150
477,F,65,98000.0,married,tertiary education,11
478,F,63,62000.0,divorced,tertiary education,131
479,M,73,58000.0,divorced,tertiary education,86
480,F,84,77000.0,married,tertiary education,136
481,F,55,62000.0,married,tertiary education,125
482,M,63,70000.0,married,tertiary education,6
483,F,24,51000.0,single,tertiary education,29
484,M,36,74000.0,married,tertiary education,137
485,M,56,69000.0,single,upper secondary and post-secondary non-tertiary,0
486,F,65,119000.0,single,upper secondary and post-secondary non-tertiary,299
487,M,75,75000.0,separated,tertiary education,116
488,M,71,114000.0,single,upper secondary and post-secondary non-tertiary,108
489,M,71,118000.0,divorced,tertiary education,144
490,M,61,39000.0,divorced,tertiary education,0
491,O,73,88000.0,married,tertiary education,57
492,M,19,73000.0,married,tertiary education,153
493,F,64,34000.0,divorced,tertiary education,78
494,F,66,112000.0,married,tertiary education,413
495,M,37,59000.0,married,tertiary education,54
496,M,22,49000.0,single,tertiary education,16
497,F,54,96000.0,married,upper secondary and post-secondary non-tertiary,46
498,M,62,73000.0,married,tertiary education,0
499,F,50,75000.0,single,upper secondary and post-secondary non-tertiary,69
500,F,80,87000.0,separated,tertiary education,120
501,M,55,112000.0,married,tertiary education,108
502,M,40,50000.0,married,tertiary education,104
503,M,43,52000.0,single,upper secondary and post-secondary non-tertiary,39
504,M,61,53000.0,married,tertiary education,34
505,F,32,43000.0,single,upper secondary and post-secondary non-tertiary,18
506,F,68,32000.0,married,tertiary education,0
507,F,66,104000.0,married,tertiary education,0
508,M,36,35000.0,married,tertiary education,0
509,M,38,60000.0,married,tertiary education,138
510,F,80,54000.0,married,tertiary education,102
511,F,82,68000.0,single,upper secondary and post-secondary non-tertiary,161
512,M,45,74000.0,single,below upper secondary,0
513,M,89,63000.0,single,below upper secondary,0
514,F,45,94000.0,married,tertiary education,31
515,M,59,35000.0,single,upper secondary and post-secondary non-tertiary,41
516,M,22,44000.0,single,tertiary education,65
517,F,67,50000.0,separated,tertiary education,102
518,F,30,41000.0,separated,tertiary education,52
519,M,56,88000.0,married,tertiary education,241
520,F,53,100000.0,divorced,tertiary education,77
521,M,32,58000.0,single,upper secondary and post-secondary non-tertiary,5
522,F,51,73000.0,single,upper secondary and post-secondary non-tertiary,0
523,F,38,66000.0,divorced,tertiary education,7
524,F,52,45000.0,married,upper secondary and post-secondary non-tertiary,55
525,M,55,68000.0,separated,tertiary education,7
526,M,81,41000.0,divorced,tertiary education,79
527,M,55,78000.0,divorced,tertiary education,188
528,F,51,67000.0,separated,tertiary education,0
529,F,71,74000.0,married,tertiary education,137
530,M,45,84000.0,separated,tertiary education,0
531,M,49,71000.0,widowed,tertiary education,99
532,M,62,48000.0,single,upper secondary and post-secondary non-tertiary,106
533,F,65,99000.0,married,tertiary education,105
534,F,50,63000.0,married,tertiary education,0
535,F,20,60000.0,single,upper secondary and post-secondary non-tertiary,24
536,F,49,31000.0,married,tertiary education,22
537,M,55,83000.0,married,tertiary education,67
538,M,58,54000.0,married,upper secondary and post-secondary non-tertiary,43
539,F,95,64000.0,married,upper secondary and post-secondary non-tertiary,56
540,F,83,99000.0,married,tertiary education,120
541,F,56,70000.0,married,tertiary education,0
542,M,66,54000.0,married,tertiary education,40
543,M,87,74000.0,separated,tertiary education,186
544,M,55,89000.0,married,tertiary education,54
545,F,52,114000.0,married,upper secondary and post-secondary non-tertiary,63
546,F,59,83000.0,single,below upper secondary,172
547,F,59,51000.0,single,below upper secondary,0
548,F,49,74000.0,divorced,tertiary education,161
549,F,62,46000.0,divorced,tertiary education,16
